name,brand,lat,lon,address,ref,city,region,phone,osm_url
АЗС (OSM 12441434039),,45.042657,39.123973,,12441434039,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/12441434039
АЗС (OSM 13321535017),,45.036109,39.072800,,13321535017,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/13321535017
АЗС (OSM 13943932460),,45.032756,39.075822,,13943932460,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/13943932460
АЗС (OSM 2427898691),,45.024612,39.128338,,2427898691,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/2427898691
АЗС (OSM 447783364),,45.014709,38.996369,,447783364,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/447783364
АЗС (OSM 452244218),,45.056016,39.131821,,452244218,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/452244218
АЗС (OSM 452244220),,45.036606,39.127674,,452244220,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/452244220
АЗС (OSM 4638013632),,45.007393,39.116870,,4638013632,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/4638013632
АЗС (OSM 530182118),,45.032674,39.097902,,530182118,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/530182118
АЗС (OSM 5358984721),,45.058220,39.131569,,5358984721,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/5358984721
АЗС (OSM 9001256224),,45.041280,39.096050,,9001256224,Краснодар,Краснодарский край,,https://www.openstreetmap.org/node/9001256224
